Item,C4,C3,C2,C1
"Agriculture, forestry and fishing",56735044.0,28994177.0,88427015.0,15993232.0
Mining and quarrying,6096419.0,9385092.0,11613097.0,833510.0
Manufacturing,24987032.0,18259272.0,108002544.0,19625045.0
"Electricity, gas, water supply & other utility services",4310264.0,4050466.0,14541227.0,2434878.0
Construction,22775948.0,11828535.0,43975718.0,12607184.0
"Trade, repair, hotels and restaurants",27484595.0,13901840.0,63729156.0,15738265.0
"Transport, storage, communication & services related to broadcasting",16191800.0,7867052.0,37760099.0,7885253.0
Financial services,7684498.0,4239374.0,37812475.0,4321519.0
"Real estate, ownership of dwelling & professional services",24177534.0,13158791.0,95695548.0,15571552.0
Public administration,13486630.0,7076156.0,20189303.0,4150701.0
Other services,15859015.0,9546854.0,39486616.0,9042352.0
Gross State Domestic Product,233252066.0,135359991.0,622828765.0,118129206.0
Counter,6.0,8.0,9.0,5.0
